City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
78,Pimentel,-6.8367,-79.9342,77.29,53,0,19.57,PE,clear sky
79,Taggia,43.8485,7.8545,56.16,87,1,5.06,IT,clear sky
80,Shache,38.4167,77.2406,29.71,41,100,2.06,CN,overcast clouds
81,Sri Aman,1.2376,111.4621,73.15,99,100,0.83,MY,overcast clouds
82,Cidreira,-30.1811,-50.2056,74.97,68,7,17.45,BR,clear sky
83,Kavieng,-2.5744,150.7967,80.98,76,86,1.99,PG,overcast clouds
84,Mount Darwin,-16.7725,31.5838,63.55,94,0,2.62,ZW,clear sky
85,Lompoc,34.6391,-120.4579,73.71,32,0,14.97,US,clear sky
86,Mount Pleasant,32.7941,-79.8626,51.94,43,0,1.99,US,clear sky
87,Qaanaaq,77.484,-69.3632,-7.91,67,100,6.64,GL,overcast clouds
88,Esperance,-33.8667,121.9,68.4,71,48,8.99,AU,scattered clouds
89,Kostino,58.9097,53.2691,-2.63,100,91,2.95,RU,overcast clouds
90,Vilhena,-12.7406,-60.1458,69.37,97,100,5.73,BR,moderate rain
91,Saint George,37.1041,-113.5841,63.07,18,0,1.01,US,clear sky
92,Yulara,-25.2406,130.9889,74.59,78,100,18.32,AU,overcast clouds
93,New Norfolk,-42.7826,147.0587,58.87,75,5,1.97,AU,clear sky
94,Pisco,-13.7,-76.2167,75.25,69,40,6.91,PE,scattered clouds
95,Mar Del Plata,-38.0023,-57.5575,68.02,92,100,20.0,AR,thunderstorm with heavy rain
96,Ilulissat,69.2167,-51.1,6.82,56,75,14.97,GL,broken clouds
97,Faya,18.3851,42.4509,55.92,86,11,4.43,SA,few clouds
98,Nuuk,64.1835,-51.7216,12.81,73,40,16.11,GL,scattered clouds
99,Marovoay,-16.1,46.6333,77.07,86,3,3.56,MG,clear sky
100,Provideniya,64.3833,-173.3,10.51,72,0,17.9,RU,clear sky
101,Torbay,47.6666,-52.7314,42.76,81,100,7.0,CA,overcast clouds
102,Nurota,40.5614,65.6886,32.09,76,8,6.58,UZ,clear sky
103,East London,-33.0153,27.9116,74.34,85,77,14.32,ZA,broken clouds
104,Kabo,7.6994,18.629,75.47,18,43,4.65,CF,scattered clouds
105,Thompson,55.7435,-97.8558,5.79,88,100,6.13,CA,overcast clouds
106,Kisangani,0.5167,25.2,73.09,41,100,0.4,CD,overcast clouds
107,Bredasdorp,-34.5322,20.0403,70.29,87,99,10.76,ZA,overcast clouds
108,Kaitangata,-46.2817,169.8464,67.93,77,17,2.26,NZ,few clouds
109,Palencia,42.4167,-4.5,40.82,50,0,4.03,ES,clear sky
110,Saskylakh,71.9167,114.0833,-17.91,100,100,2.46,RU,overcast clouds
111,Polson,47.6936,-114.1632,33.76,79,100,3.4,US,overcast clouds
112,Emba,48.8264,58.1442,22.26,92,100,13.6,KZ,overcast clouds
113,Yaan,7.3833,8.5667,80.96,12,100,8.28,NG,overcast clouds
114,Georgetown,5.4112,100.3354,81.9,86,20,0.0,MY,few clouds
115,Potenza,40.6443,15.8086,36.91,81,1,4.83,IT,clear sky
116,Alice Springs,-23.7,133.8833,72.95,100,100,11.5,AU,overcast clouds
117,Yumen,40.2833,97.2,14.65,44,100,6.6,CN,overcast clouds
118,Chinhoyi,-17.3667,30.2,63.64,95,73,4.14,ZW,broken clouds
119,Vanimo,-2.6741,141.3028,76.5,88,100,7.96,PG,overcast clouds
120,Hambantota,6.1241,81.1185,76.23,89,26,12.73,LK,scattered clouds
121,Seydi,39.4816,62.9137,36.3,67,26,9.89,TM,scattered clouds
122,Chuy,-33.6971,-53.4616,76.44,63,26,13.98,UY,scattered clouds
123,Panalingaan,8.7842,117.4231,77.83,86,5,3.78,PH,clear sky
124,Karratha,-20.7377,116.8463,82.47,63,63,19.28,AU,broken clouds
125,Carnarvon,-24.8667,113.6333,77.65,74,75,23.24,AU,broken clouds
126,Raglan,-37.8,174.8833,75.33,68,89,6.96,NZ,overcast clouds
127,Touros,-5.1989,-35.4608,83.3,74,21,12.84,BR,few clouds
128,Buchanan,5.8808,-10.0467,80.56,82,57,5.88,LR,broken clouds
129,Berdigestyakh,62.0989,126.6992,-15.0,99,100,4.21,RU,overcast clouds
130,Jamestown,42.097,-79.2353,21.02,54,100,5.01,US,overcast clouds
131,Port Blair,11.6667,92.75,71.71,71,51,7.92,IN,broken clouds
132,Puerto Escondido,15.85,-97.0667,83.23,69,20,4.61,MX,few clouds
133,Chilca,-12.5211,-76.7372,76.6,77,78,7.23,PE,broken clouds
134,Hamilton,39.1834,-84.5333,40.98,55,0,3.0,US,clear sky
135,Port Lincoln,-34.7333,135.8667,66.54,83,31,8.16,AU,scattered clouds
136,Fuerte Olimpo,-21.0415,-57.8738,97.39,31,32,9.04,PY,scattered clouds
