City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
483,Daru,-9.0763,143.2092,81.37,81,99,10.02,PG,2022-01-29 00:22:51
484,Hamilton,39.1834,-84.5333,20.39,86,100,1.01,US,2022-01-29 00:18:49
485,At-Bashi,41.1702,75.8106,7.83,74,68,1.16,KG,2022-01-29 00:22:52
486,Dinghai,26.2847,119.7936,47.32,84,100,23.51,CN,2022-01-29 00:22:53
487,Pitea,65.3172,21.4794,6.89,95,18,1.95,SE,2022-01-29 00:22:53
488,Los Llanos De Aridane,28.6585,-17.9182,55.15,73,0,8.01,ES,2022-01-29 00:22:54
489,Ler,8.3018,30.1418,73.62,22,5,7.23,SS,2022-01-29 00:22:54
490,Leh,34.1667,77.5833,-6.5,78,19,2.15,IN,2022-01-29 00:22:55
491,Mopti,14.6667,-4.0,69.84,35,2,6.91,ML,2022-01-29 00:22:56
492,Nevelsk,46.6733,141.8633,5.43,68,100,14.7,RU,2022-01-29 00:22:56
493,Iwanai,42.9744,140.5089,22.78,80,100,15.01,JP,2022-01-29 00:22:57
494,Codrington,-38.2667,141.9667,64.53,75,97,12.66,AU,2022-01-29 00:22:58
495,Kedrovyy,56.1667,91.8167,-16.19,100,98,3.62,RU,2022-01-29 00:22:59
496,Balurghat,25.2167,88.7667,54.27,55,0,5.84,IN,2022-01-29 00:22:59
497,Jiazi,22.8779,116.067,59.83,83,76,12.97,CN,2022-01-29 00:23:00
498,Kitami,43.8031,143.8908,18.68,78,82,5.37,JP,2022-01-29 00:23:00
499,Tecpan,14.7623,-90.9947,65.16,69,29,2.66,GT,2022-01-29 00:23:01
500,Kodinsk,58.6881,99.1844,-10.53,100,100,2.89,RU,2022-01-29 00:23:01
501,Phuthaditjhaba,-28.5242,28.8158,57.02,91,79,4.59,ZA,2022-01-29 00:19:07
502,Oriximina,-1.7656,-55.8661,75.49,92,76,2.21,BR,2022-01-29 00:24:02
503,Sinaloa,25.0,-107.5,79.11,51,43,4.0,MX,2022-01-29 00:19:37
504,Rorvik,64.8621,11.2373,35.58,94,100,28.92,NO,2022-01-29 00:24:03
505,Bam,29.106,58.357,49.48,35,1,10.87,IR,2022-01-29 00:24:04
506,Jijiga,9.35,42.8,57.34,46,68,11.74,ET,2022-01-29 00:24:04
507,Xining,36.6167,101.7667,7.61,86,82,3.09,CN,2022-01-29 00:24:05
508,Yumen,40.2833,97.2,18.07,44,3,5.08,CN,2022-01-29 00:24:05
509,Wajima,37.4,136.9,32.68,86,75,5.75,JP,2022-01-29 00:24:06
510,Timra,62.487,17.3257,31.68,91,40,4.61,SE,2022-01-29 00:24:06
511,Brokopondo,4.75,-55.1667,75.94,84,80,9.44,SR,2022-01-29 00:24:07
512,Araxa,-19.5933,-46.9406,64.87,93,91,2.44,BR,2022-01-29 00:24:08
513,Monrovia,6.3005,-10.7969,80.46,81,61,5.97,LR,2022-01-29 00:24:08
514,Sao Paulo De Olivenca,-3.3783,-68.8725,76.37,89,88,2.82,BR,2022-01-29 00:24:09
515,Sao Filipe,14.8961,-24.4956,71.67,70,96,10.02,CV,2022-01-29 00:19:24
516,Kyaikto,17.3,97.0167,66.9,65,69,3.62,MM,2022-01-29 00:24:10
517,Kaitong,44.8135,123.15,-1.89,82,0,7.52,CN,2022-01-29 00:24:10
518,Vvedenskoye,55.4753,65.0847,3.09,99,100,3.09,RU,2022-01-29 00:24:11
519,Taunsa,30.7048,70.6505,52.68,38,0,6.4,PK,2022-01-29 00:24:11
520,Kahului,20.8947,-156.47,82.42,57,40,16.11,US,2022-01-29 00:24:12
521,Naze,28.3667,129.4833,54.52,81,100,11.39,JP,2022-01-29 00:24:12
522,Burnie,-41.0667,145.9167,70.95,86,39,9.46,AU,2022-01-29 00:24:13
523,Rio Grande,-32.035,-52.0986,69.94,66,12,11.88,BR,2022-01-29 00:24:13
524,Waipawa,-41.4122,175.5153,72.23,41,52,7.47,NZ,2022-01-29 00:24:14
525,Acari,-15.4311,-74.6158,72.18,71,16,6.13,PE,2022-01-29 00:24:14
526,Mahibadhoo,3.7833,72.9667,80.89,64,38,15.52,MV,2022-01-29 00:24:15
527,Maamba,-17.3667,27.15,68.34,93,100,3.89,ZM,2022-01-29 00:24:15
528,Agadez,19.75,10.25,55.24,18,0,9.17,NE,2022-01-29 00:24:16
529,Bilibino,68.0546,166.4372,-9.9,97,100,4.14,RU,2022-01-29 00:24:17
530,Clovis,36.8252,-119.7029,66.65,32,75,4.61,US,2022-01-29 00:24:17
531,Kielce,50.8703,20.6275,33.73,1,74,13.15,PL,2022-01-29 00:24:18
532,Grindavik,63.8424,-22.4338,25.27,58,75,20.71,IS,2022-01-29 00:24:18
533,Makakilo City,21.3469,-158.0858,81.61,57,0,14.97,US,2022-01-29 00:20:28
534,Manta,-0.95,-80.7333,76.78,83,75,5.75,EC,2022-01-29 00:24:19
535,Kushiro,42.975,144.3747,25.75,54,20,9.22,JP,2022-01-29 00:24:19
536,Sidi Ali,36.0998,0.4206,50.25,59,3,9.01,DZ,2022-01-29 00:24:20
537,Vetapalem,15.7833,80.3167,66.0,87,14,7.99,IN,2022-01-29 00:24:21
538,Orcopampa,-15.2661,-72.3417,46.87,76,95,7.61,PE,2022-01-29 00:24:21
539,Galle,6.0367,80.217,75.42,85,40,3.96,LK,2022-01-29 00:20:50
540,Mutsu,41.2894,141.2169,25.0,100,75,1.14,JP,2022-01-29 00:24:22
541,Ambon,-3.6954,128.1814,87.94,66,20,5.75,ID,2022-01-29 00:24:23
542,Buchanan,5.8808,-10.0467,79.79,82,50,5.3,LR,2022-01-29 00:24:23
543,Anori,-3.7728,-61.6442,74.61,94,100,1.43,BR,2022-01-29 00:24:24
544,Ilebo,-4.3167,20.5833,74.39,81,100,1.32,CD,2022-01-29 00:24:24
545,Arman,59.7,150.1667,9.95,77,100,15.1,RU,2022-01-29 00:24:00
546,San Jose,37.3394,-121.895,68.99,43,40,4.0,US,2022-01-29 00:20:24
547,Buala,-8.145,159.5921,84.83,67,90,3.78,SB,2022-01-29 00:24:26
548,Dongsheng,39.8161,109.9776,16.57,48,0,5.59,CN,2022-01-29 00:24:26
549,Manoel Urbano,-8.8389,-69.2597,73.81,98,98,3.76,BR,2022-01-29 00:24:27
550,Puerto Escondido,15.85,-97.0667,81.43,65,75,6.91,MX,2022-01-29 00:21:47
551,Bandarbeyla,9.4942,50.8122,72.93,77,76,17.52,SO,2022-01-29 00:25:28
552,Noumea,-22.2763,166.4572,84.18,99,100,11.25,NC,2022-01-29 00:25:28
553,Grand Island,40.925,-98.342,41.29,53,0,1.01,US,2022-01-29 00:25:29
554,Loreto,22.2667,-101.9667,69.94,28,41,8.55,MX,2022-01-29 00:23:11
555,Peniche,39.3558,-9.3811,54.88,48,0,11.74,PT,2022-01-29 00:25:30
556,Songea,-10.6833,35.65,64.6,97,100,1.83,TZ,2022-01-29 00:25:30
557,San Jeronimo,-11.9472,-75.2829,45.34,96,100,2.71,PE,2022-01-29 00:25:31
558,Komsomolskiy,40.4272,71.7189,38.12,38,40,6.91,UZ,2022-01-29 00:25:31
559,Ust-Nera,64.5667,143.2,-10.71,98,100,0.92,RU,2022-01-29 00:25:32
560,Barabai,-2.5833,115.3833,75.76,93,100,0.94,ID,2022-01-29 00:25:32
561,Niquelandia,-14.4739,-48.4597,69.01,94,100,1.77,BR,2022-01-29 00:25:33
562,Baoning,25.3378,110.026,39.06,93,75,6.71,CN,2022-01-29 00:25:33
563,Rabo De Peixe,37.8,-25.5833,57.27,95,20,8.05,PT,2022-01-29 00:25:34
564,Fort Nelson,58.8053,-122.7002,17.19,93,100,8.05,CA,2022-01-29 00:25:35
565,Goedereede,51.8175,3.9806,46.38,85,100,7.0,NL,2022-01-29 00:25:35
566,Anamur,36.0751,32.8369,41.02,59,20,5.95,TR,2022-01-29 00:25:36
567,Mormugao,15.4,73.8,72.66,53,9,6.91,IN,2022-01-29 00:25:36
568,La Romana,18.4273,-68.9728,74.93,94,20,0.0,DO,2022-01-29 00:25:37
569,Kautokeino,69.0125,23.0412,-5.78,99,85,4.16,NO,2022-01-29 00:25:37
570,Conceicao Do Araguaia,-8.2578,-49.2647,71.44,96,51,4.12,BR,2022-01-29 00:25:38
571,Corumba,-19.0092,-57.6533,74.19,96,93,3.69,BR,2022-01-29 00:21:09
572,Moroni,-11.7022,43.2551,78.69,75,99,3.15,KM,2022-01-29 00:25:39
573,Barahona,18.2085,-71.1008,74.91,81,0,5.55,DO,2022-01-29 00:22:22
574,Manavalakurichi,8.1333,77.3,77.09,76,18,10.87,IN,2022-01-29 00:25:40
575,Jumla,29.2747,82.1838,31.33,33,0,5.14,NP,2022-01-29 00:25:40
576,Kampene,-3.6,26.6667,68.02,94,91,1.63,CD,2022-01-29 00:25:41
577,Kailua,21.4022,-157.7394,82.38,62,0,5.75,US,2022-01-29 00:25:41
578,Abha,18.2164,42.5053,52.05,87,20,11.5,SA,2022-01-29 00:25:42
579,Itarema,-2.9248,-39.9167,73.31,84,100,6.6,BR,2022-01-29 00:23:20
580,Trinidad,-14.8333,-64.9,73.89,95,100,1.92,BO,2022-01-29 00:25:43
581,Leshukonskoye,64.8989,45.7622,14.16,94,100,6.98,RU,2022-01-29 00:25:43
582,Marzuq,14.4,46.4667,58.77,31,25,2.33,YE,2022-01-29 00:25:44
583,Chumikan,54.7183,135.315,-15.34,90,15,15.01,RU,2022-01-29 00:25:44
584,Belyy Yar,53.6039,91.3903,-7.71,68,75,0.0,RU,2022-01-29 00:25:45
585,Langreo,43.2957,-5.6842,47.46,95,3,3.8,ES,2022-01-29 00:25:46
586,Kavali,14.9167,79.9833,69.4,88,43,8.37,IN,2022-01-29 00:25:46
587,Tautira,-17.7333,-149.15,87.82,75,24,16.33,PF,2022-01-29 00:25:47
588,Pitimbu,-7.4706,-34.8086,72.19,73,71,12.15,BR,2022-01-29 00:25:48
589,Batagay-Alyta,67.8006,130.4114,-6.39,94,91,4.21,RU,2022-01-29 00:25:48
590,Gizo,-8.103,156.8419,84.52,68,84,7.34,SB,2022-01-29 00:25:49
591,Port Hedland,-20.3167,118.5667,82.45,69,80,11.5,AU,2022-01-29 00:25:49
592,Taoudenni,22.6783,-3.9836,71.85,11,97,13.51,ML,2022-01-29 00:25:50
593,Gavle,60.6745,17.1417,31.5,79,91,5.99,SE,2022-01-29 00:25:50
594,Half Moon Bay,37.4636,-122.4286,68.58,45,0,3.44,US,2022-01-29 00:25:51
595,Moose Factory,51.2585,-80.6094,-2.22,65,100,3.44,CA,2022-01-29 00:25:51
596,Southbridge,42.0751,-72.0334,29.21,72,100,4.0,US,2022-01-29 00:23:12
